CCAA;FECHA;CASOS;PCR+;TestAc+;Hospitalizados;UCI;Fallecidos;Recuperados
EX;;2068;;;453;66;228;223
GA;;6151;;;1916;170;190;610
MD;;;45739;;14501;1510;5136;17322
ML;;86;;;38;3;2;11
MC;;1259;;;468;81;68;156
NC;;3231;;;1432;124;187;380
PV;;8810;;;4794;410;548;3568
RI;;2719;;;888;66;141;964
AN;;;8743;;4335;499;528;900
AR;;3449;;;1663;247;312;578
AS;;1679;;;889;91;96;244
IB;;1369;;;705;124;84;537
CN;;1725;;;689;137;89;186
CB;;1501;;;677;66;85;129
CM;;11077;;;2908;360;1177;1353
CL;;9581;;;5180;346;982;2711
CT;;28323;;;15643;1740;2329;6150
CE;;83;;;9;4;4;2
VC;;7443;;;3698;492;672;1103
EX;;2116;;;686;70;258;282
GA;;6331;;;1968;162;204;688
MD;;;47273;;13950;1494;5371;18410
ML;;92;;;40;3;2;11
MC;;1283;;;500;84;78;193
NC;;3355;;;1488;124;202;421
PV;;9021;;;4856;417;586;3728
RI;;2846;;;918;66;160;994
AN;;;8973;;4463;520;605;1041
AR;;3549;;;1716;255;349;659
AS;;1705;;;958;91;102;294
IB;;1412;;;731;129;89;616
CN;;1762;;;703;138;91;249
CB;;1572;;;700;69;92;175
CM;;11788;;;2731;354;1255;1557
CL;;10058;;;5322;342;1028;2988
CT;;29647;;;16235;1829;2462;7320
CE;;84;;;9;4;4;7
VC;;7655;;;3713;496;724;1344
EX;;2184;;;898;98;271;328
GA;;6538;;;2014;158;213;800
MD;;;48632;;13289;1450;5586;19836
ML;;93;;;40;3;2;12
MC;;1326;;;515;86;85;203
NC;;3467;;;1526;124;206;450
PV;;9452;;;4982;430;635;4151
RI;;2951;;;955;68;177;1061
AN;;;9234;;4599;538;652;1193
